City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
433,Tukrah,LY,68.45,32.53,20.58,استراحة لاقروتا
434,Skala,PL,63.0,50.23,19.85,Hotel pod Kazimierzem
435,Sechura,PE,66.79,-5.56,-80.82,Hospedaje Costa Bella
436,Ferrol,ES,60.01,43.48,-8.24,Carrís Almirante
437,Jawhar,SO,74.68,2.78,45.5,Ceelbaraf high school
438,Katsuura,JP,70.0,35.13,140.3,Katsuura Hilltop Hotel & Residence
440,Libreville,GA,77.0,0.39,9.45,Hotel Re-Ndama
443,Rawlins,US,66.99,41.79,-107.24,Holiday Inn Express Rawlins
446,Khasan,RU,67.91,42.43,130.64,Krako Motorkár
447,Yeppoon,AU,75.2,-23.13,150.73,Villa Mar Colina
448,Sao Felix Do Xingu,BR,70.99,-6.64,-51.99,Apart Hotel Rio Xingu
449,Messina,IT,70.0,38.19,15.55,Hotel Touring
450,Verkhnevilyuysk,RU,76.73,63.45,120.32,Gostinitsa Mila
451,Ypsonas,CY,71.6,34.69,32.96,Club Aphrodite
452,Turayf,SA,69.8,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
453,Beira,MZ,60.8,-19.84,34.84,Beira Terrace Hotel
455,Suchiate,MX,82.4,14.55,-92.22,Rancho Perdido
457,Alekseyevka,RU,62.89,50.63,38.69,Apartment on Ploshchad Pobedy
458,Fukue,JP,78.8,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
459,Bojonegoro,ID,82.71,-7.15,111.88,Dewarna Hotel & Convention
460,Asfi,MA,68.83,32.3,-9.24,Hôtel Abda
462,Dauriya,RU,71.28,49.93,116.87,
463,Bongandanga,CD,71.1,1.5,21.05,
464,Coos Bay,US,69.01,43.37,-124.22,Best Western Holiday Hotel
