City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
278,Tatawin,TN,32.93,10.45,75.2,29,0,4.7,clear sky,0.0,0
279,Yerbogachen,RU,61.28,108.01,72.86,54,98,4.63,overcast clouds,0.0,0
280,Mehamn,NO,71.04,27.85,44.44,89,100,13.87,overcast clouds,0.0,0
281,Saint George,US,37.1,-113.58,100.0,8,1,13.87,clear sky,0.0,0
282,Mecca,SA,21.43,39.83,81.07,46,15,5.06,few clouds,0.0,0
283,Sabla,NG,12.75,4.71,85.32,58,1,19.69,clear sky,0.0,0
284,Ningyang,CN,35.76,116.79,80.08,51,44,9.51,scattered clouds,0.0,0
285,Bueno Brandao,BR,-22.44,-46.35,56.5,83,0,3.8,clear sky,0.0,0
286,Port Elgin,CA,46.05,-64.09,68.0,77,20,8.05,few clouds,0.0,0
287,Scarborough,GB,54.28,-0.4,52.0,86,1,3.0,clear sky,0.0,0
288,Tezu,IN,27.92,96.17,80.08,84,85,0.85,light rain,0.66,0
289,Zheleznodorozhnyy,RU,55.75,38.0,57.0,93,3,2.24,clear sky,0.0,0
290,Tibiri,NE,13.56,7.05,87.3,48,0,15.3,clear sky,0.0,0
291,Betsiamites,CA,48.94,-68.65,51.8,93,20,10.29,few clouds,0.0,0
292,Panaba,MX,21.28,-88.27,78.49,91,0,6.35,clear sky,0.0,0
293,Nurota,UZ,40.56,65.69,80.6,26,0,23.04,clear sky,0.0,0
294,Santo Domingo,DO,18.5,-69.99,84.99,79,21,1.99,few clouds,0.0,0
295,Staryy Krym,UA,45.03,35.1,63.52,85,0,2.17,light rain,0.36,0
296,Bougouni,ML,11.42,-7.48,83.34,55,100,5.73,overcast clouds,0.0,0
297,Hambantota,LK,6.12,81.12,80.6,88,20,5.82,few clouds,0.0,0
298,Ouadda,CF,8.08,22.4,67.91,93,93,1.39,overcast clouds,0.0,0
299,Ryotsu,JP,38.08,138.43,75.2,69,100,6.93,overcast clouds,0.0,0
300,Abha,SA,18.22,42.51,68.0,60,16,6.73,few clouds,0.0,0
301,Bilibino,RU,68.05,166.44,83.3,25,54,16.6,broken clouds,0.0,0
302,Norman Wells,CA,65.28,-126.83,55.4,93,90,9.17,overcast clouds,0.0,0
303,Port Lincoln,AU,-34.73,135.87,58.33,66,0,17.92,clear sky,0.0,0
304,Matagami,CA,49.75,-77.63,66.2,93,90,6.93,overcast clouds,0.0,0
305,Bundaberg,AU,-24.85,152.35,73.99,37,1,10.29,clear sky,0.0,0
306,Aleksandrovsk-Sakhalinskiy,RU,50.9,142.16,56.03,66,100,4.21,overcast clouds,0.0,0
307,Neiafu,TO,-18.65,-173.98,82.4,83,40,9.17,scattered clouds,0.0,0
308,Liverpool,GB,53.41,-2.98,55.0,81,23,8.05,few clouds,0.0,0
309,Lavrentiya,RU,65.58,-171.0,58.59,46,0,8.59,clear sky,0.0,0
310,Baiyin,CN,36.56,104.21,57.2,87,75,4.47,broken clouds,0.0,0
311,Ligayan,PH,4.65,119.47,83.91,71,46,5.41,scattered clouds,0.0,0
312,Bontang,ID,0.13,117.5,82.02,81,35,4.07,light rain,0.65,0
